"module name","licenses","repository","licenseUrl","parents"
"spdx-expression-parse@3.0.0","MIT","https://github.com/jslicense/spdx-expression-parse.js","https://github.com/jslicense/spdx-expression-parse.js/raw/master/LICENSE","chatbot"
"spdx-license-ids@3.0.0","CC0-1.0","https://github.com/shinnn/spdx-license-ids","https://github.com/shinnn/spdx-license-ids","chatbot"
"split-string@3.1.0","MIT","https://github.com/jonschlinkert/split-string","https://github.com/jonschlinkert/split-string/raw/master/LICENSE","chatbot"
"sprintf-js@1.0.3","BSD-3-Clause","https://github.com/alexei/sprintf.js","https://github.com/alexei/sprintf.js/raw/master/LICENSE","chatbot"
"sshpk@1.14.2","MIT","https://github.com/arekinath/node-sshpk","https://github.com/arekinath/node-sshpk/raw/master/LICENSE","chatbot"
"stack-trace@0.0.10","MIT","https://github.com/felixge/node-stack-trace","https://github.com/felixge/node-stack-trace/raw/master/License","chatbot"
"static-extend@0.1.2","MIT","https://github.com/jonschlinkert/static-extend","https://github.com/jonschlinkert/static-extend/raw/master/LICENSE","chatbot"
"statuses@1.4.0","MIT","https://github.com/jshttp/statuses","https://github.com/jshttp/statuses/raw/master/LICENSE","chatbot"
"stealthy-require@1.1.1","ISC","https://github.com/analog-nico/stealthy-require","https://github.com/analog-nico/stealthy-require/raw/master/LICENSE","chatbot"
"strict-uri-encode@1.1.0","MIT","https://github.com/kevva/strict-uri-encode","https://github.com/kevva/strict-uri-encode/raw/master/license","chatbot"
"string-width@1.0.2","MIT","https://github.com/sindresorhus/string-width","https://github.com/sindresorhus/string-width/raw/master/license","wrap-ansi:chatbot"
"string-width@2.1.1","MIT","https://github.com/sindresorhus/string-width","https://github.com/sindresorhus/string-width/raw/master/license","chatbot"
"strip-ansi@3.0.1","MIT","https://github.com/chalk/strip-ansi","https://github.com/chalk/strip-ansi/raw/master/license","chatbot"
"strip-ansi@4.0.0","MIT","https://github.com/chalk/strip-ansi","https://github.com/chalk/strip-ansi/raw/master/license","string-width:chatbot"
"strip-bom@2.0.0","MIT","https://github.com/sindresorhus/strip-bom","https://github.com/sindresorhus/strip-bom/raw/master/license","chatbot"
"strip-eof@1.0.0","MIT","https://github.com/sindresorhus/strip-eof","https://github.com/sindresorhus/strip-eof/raw/master/license","chatbot"
"strip-indent@1.0.1","MIT","https://github.com/sindresorhus/strip-indent","https://github.com/sindresorhus/strip-indent/raw/master/license","chatbot"
"strip-json-comments@2.0.1","MIT","https://github.com/sindresorhus/strip-json-comments","https://github.com/sindresorhus/strip-json-comments/raw/master/license","chatbot"
"supports-color@3.2.3","MIT","https://github.com/chalk/supports-color","https://github.com/chalk/supports-color/raw/master/license","istanbul:chatbot"
"supports-color@5.4.0","MIT","https://github.com/chalk/supports-color","https://github.com/chalk/supports-color/raw/master/license","jacoco-parse:chatbot"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color","https://github.com/chalk/supports-color/raw/master/license","chatbot"
"supports-color@6.0.0","MIT","https://github.com/chalk/supports-color","https://github.com/chalk/supports-color/raw/master/license","mocha:chatbot"
"tar@4.4.8","ISC","https://github.com/npm/node-tar","https://github.com/npm/node-tar/raw/master/LICENSE","chatbot"
